date,observed,lower,median,upper
1961-01-01,27.040722240637848,24.97560508846365,25.211431840586876,25.738663932074378
1961-02-01,24.080378034862346,24.978472560175003,25.216497885341482,25.745026384008366
1961-03-01,30.037507593827613,24.978343410050023,25.216068278963782,25.749307289793457
1961-04-01,26.894721255782965,24.97737557957516,25.215253345084356,25.697032760463696
1961-05-01,27.21640725722703,24.96598459386424,25.212165341782878,25.680978212034816
1961-06-01,27.352375879535906,24.96379993460673,25.214403383515354,25.667195082814715
1961-07-01,23.34308345280865,24.963261154883785,25.210987652066642,25.66288648688779
1961-08-01,24.438770094133343,24.96344870000171,25.204883222726927,25.665369235530896
1961-09-01,26.51234274416016,24.965498213772744,25.20970325815749,25.678010708558595
1961-10-01,27.341154739959865,24.969143657700613,25.208819324744958,25.683652810667283
1961-11-01,25.98582886304636,24.96351415015791,25.206052965029144,25.638709771071866
1961-12-01,24.30693289321174,24.97694345995722,25.207737472861254,25.630369739671607
1962-01-01,26.30199286906823,24.963894060450286,25.209950694662375,25.659560066766108
1962-02-01,27.49463281649381,24.979862902551794,25.20796833067551,25.64499718520626
1962-03-01,26.6768763910809,24.97723475896412,25.209427820374174,25.638961741137262
1962-04-01,27.307480036866032,24.95424835134331,25.206774951647063,25.628005979233073
1962-05-01,25.410191093605103,24.952358411822008,25.20566381665117,25.618097999499923
1962-06-01,23.53744042901972,24.95171643466072,25.201941384063353,25.60964910992034
1962-07-01,24.657304125308364,24.95995734364244,25.2022719886467,25.607277452660185
1962-08-01,25.1113299794102,24.938675273356044,25.20155359423781,25.597039285954285
1962-09-01,25.3825120412907,24.967480977297463,25.20138069761354,25.595394905941852
1962-10-01,23.5199633534501,24.963807671313138,25.201553217067783,25.580202402688446
1962-11-01,24.342058539707114,24.973424117954846,25.201107479302962,25.592406375733436
1962-12-01,29.730028451763538,24.977900520423976,25.20138069761354,25.574927817981056
1963-01-01,26.079430287745684,24.978167114737943,25.202644050676927,25.577781676781655
1963-02-01,25.25015750533539,24.964079015559165,25.20109534941908,25.575120913285716
1963-03-01,25.34086162654664,24.978652969456242,25.201567224253893,25.57921955471584
1963-04-01,25.04750436595868,24.983108694637657,25.201319073720498,25.55934898377995
1963-05-01,25.86756774027428,24.983108694637657,25.20517020248834,25.553945491255806
1963-06-01,28.19748607459793,24.982310666097735,25.20528308432099,25.559634958493344
1963-07-01,25.52839319532526,24.98898901303122,25.20434959695491,25.552890502646875
1963-08-01,25.129092799894856,24.99539368449725,25.20838921088417,25.547358054896716
1963-09-01,26.13865428833586,24.991685563523156,25.208607133055473,25.54120517614447
1963-10-01,26.5338111204874,24.997538031152757,25.206774951647063,25.525137121757787
1963-11-01,26.544356569509876,24.99813738848738,25.20800473583696,25.535251802330123
1963-12-01,26.441974342811164,24.995427828862585,25.209746904427234,25.532086455472605
1964-01-01,23.624582190402247,24.98734045243195,25.2061272449704,25.511109054185457
1964-02-01,26.98991455797063,24.991363595498328,25.202139023393283,25.494533199686632
1964-03-01,23.88616782558286,24.998165312069276,25.206774951647063,25.515578423811125
1964-04-01,26.310676177861183,24.99139520177152,25.21438384711933,25.531053138775196
1964-05-01,23.871566379620244,24.995390484522147,25.21221018848464,25.520674485519027
1964-06-01,27.74138312643988,24.993291205981052,25.2102700697979,25.51718983557871
1964-07-01,24.31018153734,24.995453692441057,25.208681849027784,25.52128924343101
1964-08-01,27.433666165514467,24.994703372424834,25.21478165124951,25.51293773917449
1964-09-01,26.50573372067131,24.994376625915024,25.210741172442056,25.5422534594267
1964-10-01,25.639568696473432,24.99547302418595,25.21445821602557,25.524884879964283
1964-11-01,27.53344997369513,24.995390484522147,25.214484200792803,25.52983744570679
1964-12-01,28.348132072040197,25.003184900627044,25.20969276508388,25.536427761424765
1965-01-01,27.60173294186333,24.997190010409746,25.210817098901675,25.54125261579566
1965-02-01,25.312032433330096,24.98714473306444,25.205584127151564,25.506029366035353
1965-03-01,25.3851998293334,24.983108694637657,25.20138069761354,25.518410676154133
1965-04-01,27.84389138389949,24.9913367824047,25.2017571789123,25.51459947274897
1965-05-01,25.51503663857031,24.9915137018237,25.200820151877622,25.509276284650344
1965-06-01,24.6535779701758,24.993107916260243,25.18944661490876,25.489465711843845
1965-07-01,25.052408873373437,24.993452662160855,25.190116432950802,25.49231742944377
1965-08-01,25.86237758532324,24.991523225215527,25.1942501547749,25.465051648246074
1965-09-01,24.11603996242071,24.983108694637657,25.18945815087431,25.45341655605878
1965-10-01,25.024631737339337,24.98074947641671,25.188207218595515,25.463723296302714
1965-11-01,27.52092725927092,24.983108694637657,25.188891394790822,25.448825108015544
1965-12-01,25.55260303372718,24.98220803400781,25.18765069006463,25.454763582770013
1966-01-01,26.098729906513437,24.97824174783566,25.186741919098708,25.476313210410392
1966-02-01,25.46623131277571,24.967602169955214,25.186126659722973,25.446851529405652
1966-03-01,25.37025517923443,24.966753946452766,25.183850027035547,25.451267081810308
1966-04-01,27.29527979987613,24.949924564225558,25.177952948180014,25.44728025892099
1966-05-01,24.178584366043854,24.947002925169713,25.17477500726732,25.43925752394107
1966-06-01,24.304359543668717,24.943697272894223,25.170076826379344,25.4313258419825
1966-07-01,25.183289237898794,24.939663584812518,25.170412487324384,25.42411517660644
1966-08-01,26.004496628071596,24.93836948852239,25.172179972436208,25.42750471086367
1966-09-01,29.30452718272351,24.93887567509478,25.17057544173082,25.407226937434878
1966-10-01,27.09298990292484,24.944089271566583,25.169374754875484,25.41696609594026
1966-11-01,23.26801046444613,24.943028276752926,25.166289989957967,25.411904565929838
1966-12-01,26.736772941272157,24.93839654919042,25.16290321854317,25.390628980791725
1967-01-01,26.18239008701256,24.919712842695358,25.16134814211449,25.393523227606636
1967-02-01,26.934869043817336,24.91678387182463,25.158218641064863,25.391137281668858
1967-03-01,21.933665459570506,24.91616110501335,25.159043919781794,25.386996787637646
1967-04-01,23.91657687998604,24.917797145456426,25.159024929989958,25.38009025693935
1967-05-01,25.10589904451345,24.92103260882975,25.157227665129373,25.407249011920367
1967-06-01,25.671788983855805,24.930235397771824,25.16133173613875,25.40578224283891
1967-07-01,27.005197023801745,24.92672099946874,25.16290321854317,25.40123572462192
1967-08-01,25.882186540212956,24.92698959051648,25.16290321854317,25.408867976581742
1967-09-01,26.043521653737688,24.93249955327146,25.161552823925163,25.425155243134796
1967-10-01,25.864740908744874,24.93892811703574,25.159826913524647,25.438644118457027
1967-11-01,24.139554584193714,24.938143981700563,25.16235177802568,25.417819481901493
1967-12-01,26.159449326205696,24.938942956971804,25.160193676918816,25.43525776546405
1968-01-01,27.006151077662764,24.93840420878176,25.16048145429035,25.417166231654615
1968-02-01,25.07698419601221,24.943621500775954,25.159408559016057,25.44881371322913
1968-03-01,27.863056783026607,24.95420136285665,25.159448761390987,25.438883294732427
1968-04-01,28.44044782928131,24.949128765165277,25.157123177111565,25.440397546085883
1968-05-01,26.73237723725108,24.9383068503831,25.15638941720845,25.44008718423377
1968-06-01,24.95044082919304,24.931501334822745,25.15682639047148,25.41371660370279
