time_label,time_x,threshold,median,lo,hi
1900,1899.9583333333333,35.0,0.008951478888697902,0.002778464385639075,0.020347610395804648
1900,1899.9583333333333,36.0,0.0010738087012943517,0.0001,0.004258649649097687
1900,1899.9583333333333,37.0,0.0001,0.0001,0.00038448449822305964
1900,1899.9583333333333,38.0,0.0001,0.0001,0.0001
1900,1899.9583333333333,39.0,0.0001,0.0001,0.0001
1900,1899.9583333333333,40.0,0.0001,0.0001,0.0001
1950,1949.9583333333333,35.0,0.055272466420830384,0.03385485183445608,0.0907115398640868
1950,1949.9583333333333,36.0,0.01623151749448707,0.007570510068234394,0.03235497313980075
1950,1949.9583333333333,37.0,0.0028454468610262795,0.0006369640998821594,0.008198961756553418
1950,1949.9583333333333,38.0,0.0001383096540137097,0.0001,0.001128124414516231
1950,1949.9583333333333,39.0,0.0001,0.0001,0.0001
1950,1949.9583333333333,40.0,0.0001,0.0001,0.0001
2020,2019.9583333333333,35.0,0.27304143263392067,0.19860841542422178,0.36031254623514786
2020,2019.9583333333333,36.0,0.13781035598834163,0.09067594195554411,0.19986618034960488
2020,2019.9583333333333,37.0,0.05571276920944697,0.03176437572304512,0.09197123217841571
2020,2019.9583333333333,38.0,0.016297221373184345,0.007148023056852063,0.03291949400571359
2020,2019.9583333333333,39.0,0.002813254991601689,0.0006823254136186932,0.008297214527710246
2020,2019.9583333333333,40.0,0.0001223459092704604,0.0001,0.0011459816947815582
