date,Prec
1964-06-18,24.6
1964-09-15,27.0
1964-12-04,25.8
1965-05-27,45.8
1965-06-16,32.2
1965-11-29,20.4
1965-12-09,18.4
1966-03-28,13.1
1966-06-18,39.8
1966-10-23,30.7
1966-12-09,20.7
1967-03-12,21.6
1967-06-23,16.2
1967-10-04,15.1
1967-12-23,15.2
1968-03-06,11.5
1968-07-06,16.3
1968-09-14,17.6
1968-12-27,19.7
1969-03-11,13.8
1969-06-23,54.4
1969-11-28,17.3
1970-02-21,16.7
1970-04-24,11.6
1970-08-07,29.1
1970-10-20,20.0
1971-02-15,10.0
1971-05-16,41.6
1971-07-23,22.9
1971-11-18,27.5
1972-01-27,12.6
1972-05-16,17.2
1972-07-09,26.0
1972-09-09,17.8
1973-02-12,9.8
1973-04-01,18.0
1973-06-01,22.7
1973-10-15,26.5
1974-02-07,18.0
1974-05-30,23.2
1974-06-27,24.5
1974-10-22,31.7
1974-12-25,15.2
1975-03-27,20.7
1975-07-17,13.9
1975-11-15,21.5
1975-12-01,17.8
1976-03-26,9.0
1976-07-12,34.0
1976-11-30,19.5
1976-12-06,20.8
1977-03-20,26.7
1977-07-28,24.4
1977-11-02,16.1
1977-12-06,13.8
1978-05-01,47.3
1978-07-02,19.9
1978-10-17,11.7
1978-12-30,16.1
1979-03-13,12.4
1979-08-01,36.0
1979-11-08,22.8
1980-02-02,15.5
1980-03-31,24.1
1980-07-20,39.1
1980-10-06,17.0
1981-01-14,33.5
1981-05-21,22.2
1981-06-28,48.5
1981-09-20,18.9
1981-12-30,17.3
1982-03-03,14.0
1982-06-23,24.0
1982-10-07,51.0
1983-01-31,24.4
1983-03-31,15.6
1983-06-01,14.3
1983-11-27,20.2
1984-02-06,21.4
1984-05-28,34.1
1984-07-14,11.5
1984-09-14,39.7
1984-12-17,12.0
1985-04-06,19.3
1985-06-24,30.7
1985-10-07,15.3
1986-01-05,16.7
1986-03-27,23.4
1986-06-06,26.9
1986-10-21,44.8
1987-02-15,22.2
1987-03-23,18.7
1987-08-24,24.6
1987-11-25,19.9
1988-02-29,18.7
1988-05-26,25.3
1988-07-03,18.0
1988-10-06,21.8
1988-12-04,18.7
1989-03-07,26.6
1989-08-31,15.4
1989-09-12,15.5
1989-12-15,23.8
1990-05-11,12.6
1990-06-26,18.8
1990-10-28,34.4
1990-12-29,21.8
1991-04-30,25.2
1991-07-02,21.2
1991-11-03,28.0
1991-12-17,20.4
1992-03-12,14.8
1992-06-02,53.0
1992-11-16,18.5
1992-12-02,16.6
1993-05-26,19.3
1993-07-24,19.7
1993-11-13,22.6
1993-12-12,20.3
1994-05-26,22.4
1994-07-31,28.0
1994-09-07,21.7
1994-12-27,26.6
1995-05-28,28.6
1995-06-04,24.3
1995-09-26,21.7
1996-02-12,23.3
1996-05-26,12.4
1996-08-29,56.7
1996-11-29,16.5
1997-02-04,18.7
1997-05-04,12.7
1997-07-17,21.9
1997-10-09,22.8
1998-01-05,11.6
1998-03-06,21.9
1998-08-23,25.6
1998-10-31,24.1
1999-01-16,16.3
1999-05-19,13.1
1999-08-09,33.0
1999-11-01,8.2
1999-12-26,31.6
2000-04-22,22.0
2000-06-05,16.1
2000-09-16,22.4
2001-02-12,19.8
2001-04-10,21.8
2001-07-22,37.3
2001-10-06,28.5
2002-02-19,28.0
2002-03-20,13.0
2002-08-23,38.9
2002-11-08,18.3
2002-12-29,22.8
2003-05-05,17.7
2003-08-28,32.3
2003-10-03,20.6
2004-01-12,37.5
2004-05-07,20.8
2004-07-22,29.5
2004-11-18,43.6
2005-02-10,25.0
2005-04-04,9.9
2005-07-29,33.4
2005-09-10,37.4
2006-02-20,15.0
2006-05-26,15.2
2006-08-21,37.3
2006-10-06,14.9
2006-12-11,18.4
2007-05-18,14.9
2007-06-14,40.3
2007-10-29,18.5
2007-12-02,23.5
2008-03-15,22.2
2008-08-03,36.4
2008-09-30,31.8
2009-01-22,20.4
2009-04-16,17.9
2009-06-09,23.8
2009-10-07,61.8
2009-12-29,13.4
2010-05-26,19.6
2010-08-15,53.9
2010-11-13,40.5
2011-01-12,25.5
2011-03-30,10.6
2011-08-23,44.3
2011-09-03,39.1
2011-12-16,24.6
2012-05-09,16.7
2012-07-14,23.6
2012-10-03,43.5
2012-12-22,29.2
2013-05-28,31.8
2013-07-27,37.8
2013-11-07,15.9
2013-12-24,26.3
2014-05-10,9.4
2014-07-09,36.5
2014-11-14,17.0
2015-01-08,21.5
2015-03-29,16.7
2015-06-05,23.6
2015-11-30,31.5
2016-01-14,24.7
2016-05-30,35.7
2016-06-07,36.7
2016-11-15,20.9
2017-01-12,21.7
2017-03-08,12.3
2017-08-30,22.2
2017-09-14,17.7
2017-12-11,22.5
2018-04-29,31.4
2018-08-16,33.3
2018-10-29,23.1
2018-12-20,17.1
2019-03-14,18.7
2019-07-27,32.8
2019-10-01,24.0
2020-01-09,13.4
2020-03-05,18.8
2020-06-30,32.5
2020-09-26,38.0
2021-01-11,22.9
2021-04-10,19.8
2021-07-15,57.8
2021-10-31,24.5
2022-02-06,21.4
2022-05-19,22.2
2022-06-08,20.1
2022-09-08,15.4
2022-12-25,23.4
2023-05-09,20.2
2023-07-23,38.0
2023-09-21,25.0
