DATE,DAY,TMIN,year,month
1902-01-30,30,-8.614288167776072,1902,1
1902-02-16,16,-17.41428816777607,1902,2
1902-03-04,4,-7.014288167776072,1902,3
1902-04-09,9,-6.014288167776072,1902,4
1902-05-07,7,-6.114288167776071,1902,5
1902-06-11,11,-3.114288167776072,1902,6
1902-07-12,12,-0.8142881677760716,1902,7
1902-08-11,11,1.3857118322239286,1902,8
1902-09-29,29,-2.3142881677760716,1902,9
1902-10-04,4,-5.714288167776072,1902,10
1902-11-21,21,-14.61428816777607,1902,11
1902-12-06,6,-17.814288167776073,1902,12
1903-01-15,15,-15.014288167776073,1903,1
1903-02-17,17,-9.214288167776072,1903,2
1903-03-10,10,-8.514288167776073,1903,3
1903-04-17,17,-8.614288167776072,1903,4
1903-05-18,18,-2.614288167776072,1903,5
1903-06-22,22,-1.9142881677760721,1903,6
1903-07-14,14,0.5857118322239279,1903,7
1903-08-07,7,2.6857118322239275,1903,8
1903-09-13,13,-0.714288167776072,1903,9
1903-10-31,31,-2.614288167776072,1903,10
1903-11-20,20,-9.914288167776071,1903,11
1903-12-31,31,-14.514288167776073,1903,12
1904-01-01,1,-15.514288167776073,1904,1
1904-02-29,29,-13.214288167776072,1904,2
1904-03-01,1,-12.814288167776072,1904,3
1904-04-26,26,-5.914288167776072,1904,4
1904-05-05,5,-4.314288167776072,1904,5
1904-06-28,28,0.08571183222392786,1904,6
1904-07-03,3,2.785711832223929,1904,7
1904-08-25,25,1.9857118322239282,1904,8
1904-09-21,21,-4.014288167776072,1904,9
1904-10-15,15,-5.714288167776072,1904,10
1904-11-24,24,-9.314288167776072,1904,11
1904-12-31,31,-10.214288167776072,1904,12
1905-01-02,2,-17.014288167776073,1905,1
1905-02-12,12,-8.914288167776071,1905,2
1905-03-02,2,-7.114288167776072,1905,3
1905-04-08,8,-7.814288167776072,1905,4
1905-05-24,24,-5.414288167776072,1905,5
1905-06-14,14,3.1857118322239275,1905,6
1905-07-20,20,2.085711832223928,1905,7
1905-08-24,24,3.285711832223929,1905,8
1905-09-16,16,-2.3142881677760716,1905,9
1905-10-24,24,-8.014288167776073,1905,10
1905-11-16,16,-9.014288167776073,1905,11
1905-12-31,31,-11.914288167776071,1905,12
1906-01-24,24,-12.61428816777607,1906,1
