date,TNx_seasonal
1964-03-01,15.0
1964-06-01,18.4
1964-09-01,16.8
1964-12-01,8.6
1965-03-01,12.8
1965-06-01,16.3
1965-09-01,15.1
1965-12-01,10.4
1966-03-01,12.9
1966-06-01,18.0
1966-09-01,15.6
1966-12-01,9.3
1967-03-01,13.9
1967-06-01,18.5
1967-09-01,15.1
1967-12-01,9.6
1968-03-01,15.1
1968-06-01,17.9
1968-09-01,15.1
1968-12-01,7.9
1969-03-01,16.9
1969-06-01,18.7
1969-09-01,16.0
1969-12-01,7.4
1970-03-01,12.2
1970-06-01,17.2
1970-09-01,14.8
1970-12-01,6.3
1971-03-01,14.7
1971-06-01,17.7
1971-09-01,13.8
1971-12-01,11.0
1972-03-01,11.0
1972-06-01,19.9
1972-09-01,13.5
1972-12-01,8.7
1973-03-01,12.7
1973-06-01,19.4
1973-09-01,17.3
1973-12-01,8.3
1974-03-01,11.0
1974-06-01,18.3
1974-09-01,15.1
1974-12-01,10.0
1975-03-01,11.5
1975-06-01,19.9
1975-09-01,16.1
1975-12-01,8.8
1976-03-01,15.8
1976-06-01,20.9
1976-09-01,14.9
1976-12-01,7.5
1977-03-01,12.8
1977-06-01,16.9
1977-09-01,14.7
1977-12-01,9.2
1978-03-01,14.3
1978-06-01,19.2
1978-09-01,14.8
1978-12-01,9.5
1979-03-01,16.2
1979-06-01,17.8
1979-09-01,16.1
1979-12-01,9.6
1980-03-01,10.7
1980-06-01,17.6
1980-09-01,16.9
1980-12-01,9.4
1981-03-01,15.4
1981-06-01,19.5
1981-09-01,14.9
1981-12-01,8.9
1982-03-01,14.0
1982-06-01,19.1
1982-09-01,16.1
1982-12-01,9.0
1983-03-01,12.4
1983-06-01,19.8
1983-09-01,16.8
1983-12-01,9.1
1984-03-01,12.4
1984-06-01,19.1
1984-09-01,16.8
1984-12-01,8.0
1985-03-01,15.2
1985-06-01,18.5
1985-09-01,17.2
1985-12-01,11.2
1986-03-01,13.5
1986-06-01,18.8
1986-09-01,14.4
1986-12-01,9.8
1987-03-01,15.2
1987-06-01,18.2
1987-09-01,17.9
1987-12-01,10.3
1988-03-01,16.0
1988-06-01,18.9
1988-09-01,14.7
1988-12-01,10.3
1989-03-01,15.4
1989-06-01,20.9
1989-09-01,16.9
1989-12-01,11.6
1990-03-01,14.8
1990-06-01,19.9
1990-09-01,16.9
1990-12-01,8.2
1991-03-01,13.0
1991-06-01,19.8
1991-09-01,17.0
1991-12-01,10.3
1992-03-01,15.7
1992-06-01,18.4
1992-09-01,15.9
1992-12-01,10.2
1993-03-01,15.6
1993-06-01,16.7
1993-09-01,15.0
1993-12-01,8.4
1994-03-01,12.9
1994-06-01,20.8
1994-09-01,14.3
1994-12-01,12.0
1995-03-01,14.3
1995-06-01,20.8
1995-09-01,15.0
1995-12-01,9.0
1996-03-01,13.7
1996-06-01,19.8
1996-09-01,13.5
1996-12-01,8.7
1997-03-01,16.2
1997-06-01,19.6
1997-09-01,16.0
1997-12-01,9.9
1998-03-01,18.6
1998-06-01,17.9
1998-09-01,15.3
1998-12-01,9.8
1999-03-01,15.9
1999-06-01,19.4
1999-09-01,17.9
1999-12-01,9.4
2000-03-01,17.0
2000-06-01,20.2
2000-09-01,17.0
2000-12-01,11.2
2001-03-01,13.5
2001-06-01,21.0
2001-09-01,16.0
2001-12-01,10.1
2002-03-01,15.1
2002-06-01,19.3
2002-09-01,15.8
2002-12-01,9.7
2003-03-01,15.3
2003-06-01,22.3
2003-09-01,14.0
2003-12-01,12.4
2004-03-01,12.4
2004-06-01,21.5
2004-09-01,16.5
2004-12-01,8.2
2005-03-01,17.0
2005-06-01,20.1
2005-09-01,17.8
2005-12-01,7.0
2006-03-01,15.2
2006-06-01,21.1
2006-09-01,17.8
2006-12-01,12.1
2007-03-01,16.5
2007-06-01,17.9
2007-09-01,15.4
2007-12-01,11.6
2008-03-01,15.6
2008-06-01,19.3
2008-09-01,16.8
2008-12-01,7.8
2009-03-01,14.0
2009-06-01,19.0
2009-09-01,16.2
2009-12-01,7.6
2010-03-01,12.7
2010-06-01,21.9
2010-09-01,15.5
2010-12-01,10.6
2011-03-01,14.9
2011-06-01,18.9
2011-09-01,17.4
2011-12-01,9.8
2012-03-01,15.6
2012-06-01,23.1
2012-09-01,15.5
2012-12-01,8.7
2013-03-01,12.1
2013-06-01,20.9
2013-09-01,17.2
2013-12-01,9.4
2014-03-01,14.4
2014-06-01,21.8
2014-09-01,17.2
2014-12-01,10.5
2015-03-01,13.6
2015-06-01,21.7
2015-09-01,14.0
2015-12-01,12.8
2016-03-01,14.1
2016-06-01,20.2
2016-09-01,18.3
2016-12-01,9.2
2017-03-01,19.2
2017-06-01,20.0
2017-09-01,16.3
2017-12-01,8.4
2018-03-01,18.5
2018-06-01,21.4
2018-09-01,17.6
2018-12-01,10.0
2019-03-01,12.5
2019-06-01,23.5
2019-09-01,16.0
2019-12-01,10.6
2020-03-01,14.4
2020-06-01,21.6
2020-09-01,18.2
2020-12-01,12.1
2021-03-01,12.7
2021-06-01,21.0
2021-09-01,17.5
2021-12-01,12.8
2022-03-01,16.5
2022-06-01,20.4
2022-09-01,17.0
2022-12-01,13.8
