parameter,mean,sd,rhat,ess_bulk,acceptance,constant,diagnostic
alpha0,24.968899881061443,0.06343973058642247,0.9992336235942599,194.56380281478877,,False,sampled
beta0,6.779099690704617e-06,5.618711317500639e-05,0.9998270510453279,342.4828219586689,,False,sampled
initial.level,24.968899881061443,0.06343973058642247,0.9992336235942599,194.56380281478877,,False,sampled
initial.slope,6.779099690704617e-06,5.618711317500639e-05,0.9998270510453279,342.4828219586689,,False,sampled
model_index,2.7275,2.3241661128888254,1.0014228829464216,294.33414231692166,,False,sampled
q_level,1.2342318174641265e-05,8.821553106670489e-05,1.0043334852185448,216.2145180990248,,False,sampled
q_season,0.0020404948065784016,0.0010266104955825818,1.007784088934345,31.904637002844158,,False,sampled
q_trend,3.6453424500293646e-11,7.212070052353391e-10,1.002506851929521,400.0,,False,sampled
s_level,-6.936297441160161e-05,0.003516877595606398,1.0043334852185448,400.0,,False,sampled
s_season,0.0004958888385138218,0.04522568193631525,1.0005181444448557,400.0,,False,sampled
s_trend,2.688521766281766e-07,6.039232055233374e-06,1.002506851929521,400.0,,False,sampled
sd.level,0.0006606697372749992,0.0034548043150123297,1.0043334852185448,216.2145180990248,,False,sampled
sd.seasonal,0.043796148323694765,0.011076955626534293,1.007784088934345,31.904637002844158,,False,sampled
sd.slope,3.3164081417063247e-07,6.03610182018403e-06,1.002506851929521,400.0,,False,sampled
sigma,1.4919356624661435,0.04338321704373326,1.0085327514175735,31.86078063104417,0.418,False,sampled
sigma2,2.227749419200552,0.13017897825380367,1.0083971486106265,31.86078063104417,,False,sampled
signed_sd.level,-6.936297441160161e-05,0.003516877595606398,1.0043334852185448,400.0,,False,sampled
signed_sd.seasonal,0.0004958888385138218,0.04522568193631525,1.0005181444448557,400.0,,False,sampled
signed_sd.slope,2.688521766281766e-07,6.039232055233374e-06,1.002506851929521,400.0,,False,sampled
state_level,1.0625,0.2423646044779629,1.006152795248023,237.13999901115236,,False,sampled
state_season,2.0,0.0,,,,True,constant draw; R-hat and ESS undefined
state_trend,0.055,0.2492595551118078,0.9984712448971047,307.1062872245289,,False,sampled
xi,-0.3015728472052344,0.021734047415700213,1.006178702912304,25.92550453158565,0.274,False,sampled
