date,observed,lower,median,upper
1892-01-01,9.6,8.750384881708218,9.46012291563431,10.235164502331981
1892-02-01,13.1,10.031547093986765,10.756943644513253,11.381548504716466
1892-03-01,16.5,14.441867794372452,15.218148376087871,15.885848376246724
1892-04-01,21.5,18.790475574112694,19.43764690177272,20.119614148442377
1892-05-01,29.9,23.49557000435955,24.186404380681047,24.941291129775877
1892-06-01,27.3,25.887419567780306,26.507084475564895,27.155521498268836
1892-07-01,30.2,27.341271733274073,28.04586757755981,28.707451862006753
1892-08-01,33.4,26.5246012255126,27.247640539350652,27.893280583583962
1892-09-01,24.4,23.337476357678767,24.005733334848212,24.789645131203436
1892-10-01,17.3,18.279424631705844,18.965961139167895,19.62517968262922
1892-11-01,15.2,12.658568348056658,13.340219511341488,14.019483856085339
1892-12-01,9.5,9.725490932932939,10.37093754127296,11.069539319930048
1893-01-01,7.5,8.856387676502683,9.479791983150719,10.167876930278972
1893-02-01,14.0,10.11314311332003,10.720182737925718,11.325492303799649
1893-03-01,16.2,14.476282193510203,15.203590968692273,15.838350032045165
1893-04-01,23.7,18.8259330508093,19.424113018731127,20.077398605495283
1893-05-01,26.1,23.548716713693437,24.19245467607393,24.91132080635384
1893-06-01,29.3,25.872425211507245,26.505818428048144,27.13954537491628
1893-07-01,32.1,27.27319502222913,28.01545212867922,28.706215860224994
1893-08-01,32.8,26.520956004002613,27.212981378207118,27.841546669540286
1893-09-01,24.1,23.327281388937937,23.993491823718863,24.75994863091615
1893-10-01,17.5,18.23407429310641,18.940330664106355,19.57579675611778
1893-11-01,12.3,12.6777544423205,13.305630817352425,13.900104392301442
1893-12-01,13.0,9.69431576311046,10.352447108504,11.01813104251527
1894-01-01,9.3,8.831347952256593,9.426775608510507,10.085095873738007
1894-02-01,10.8,10.07688659607629,10.669722848978637,11.26942798163439
1894-03-01,18.0,14.422947478626806,15.16142300369401,15.737193359081049
1894-04-01,23.0,18.778721418105558,19.369599723033833,19.964698494793325
1894-05-01,26.3,23.472754353203538,24.157621255038165,24.860282345747496
1894-06-01,26.6,25.84945066494597,26.42966623860645,27.038311717557566
1894-07-01,29.9,27.2086897090608,27.960038453531368,28.550665761191294
1894-08-01,27.1,26.438053323826377,27.145029203981842,27.801824235000673
1894-09-01,22.6,23.251429231728665,23.92099133162983,24.662912629191315
1894-10-01,17.2,18.21828976181765,18.874255394038407,19.451166416563815
1894-11-01,14.7,12.614299262546806,13.227291414811692,13.839127973691502
1894-12-01,9.2,9.67813436458406,10.254984198588616,10.931945559074542
1895-01-01,10.4,8.713882994900485,9.363248240682273,9.958958633126795
1895-02-01,3.7,10.017591470289684,10.598871462311932,11.182989103908161
1895-03-01,12.2,14.38639114589777,15.061871359443202,15.642307847449839
1895-04-01,20.6,18.68845026889762,19.287632904444294,19.911353238650715
1895-05-01,26.5,23.47386413348155,24.07913478062722,24.795310530150935
1895-06-01,26.1,25.798338537813976,26.397345670488207,27.00048835739858
1895-07-01,24.8,27.204809028489652,27.905187151913907,28.5624094590576
1895-08-01,29.1,26.413473131411404,27.11625252755598,27.730058027450337
1895-09-01,28.5,23.261311283305456,23.900271270111805,24.57879922329911
1895-10-01,21.9,18.189482284276764,18.850651916012907,19.46157284926427
1895-11-01,17.9,12.605163257606383,13.222071145088234,13.839227718649639
1895-12-01,11.5,9.646909877564996,10.25810616548336,10.86664800423388
1896-01-01,8.4,8.694859267239718,9.362097757470142,9.899638410395113
1896-02-01,13.9,10.016293096716094,10.614777543301283,11.228370857823514
1896-03-01,20.0,14.374235383965809,15.087949823256372,15.642563733483051
1896-04-01,17.9,18.712544056396574,19.262767306210783,19.89467155353232
1896-05-01,21.1,23.47878187891056,24.060344473561283,24.75789476679906
1896-06-01,27.1,25.734881538999076,26.388608101565133,26.932473413707775
1896-07-01,28.7,27.224065949289574,27.89753144630965,28.48337288946229
1896-08-01,21.3,26.400992505426583,27.076257683038868,27.67900065474008
1896-09-01,22.9,23.29686704846963,23.870879308154063,24.54215657752674
1896-10-01,19.9,18.20493787214847,18.824446538772385,19.420883561202825
1896-11-01,10.2,12.61171358687001,13.208941625008013,13.83081240290108
1896-12-01,8.7,9.645523825364458,10.244235921697276,10.867709289802931
1897-01-01,8.3,8.709454477158644,9.352188768569379,9.933192869239818
1897-02-01,14.3,10.01524239921184,10.604629072773413,11.18752300442344
1897-03-01,17.8,14.455193625160002,15.095829692224296,15.63282942067878
1897-04-01,24.3,18.688091293016367,19.341743307068313,19.891896847979122
1897-05-01,25.1,23.50483784507276,24.090130279946727,24.76626392992842
1897-06-01,28.3,25.835751047937087,26.413256886452803,27.031623501659105
1897-07-01,25.1,27.287980521439597,27.927917976554706,28.52387806594021
1897-08-01,28.6,26.497262776052015,27.133720876642016,27.748579047310706
1897-09-01,23.3,23.33651574554286,23.913355153595234,24.564753024280325
1897-10-01,19.0,18.217850350221358,18.862529349504236,19.44089673201655
1897-11-01,17.3,12.630492499032414,13.23870172645285,13.815607850680145
1897-12-01,12.7,9.70451211118757,10.32293715338573,10.89355594641855
1898-01-01,10.4,8.780057448449352,9.385740158051256,10.018490160350051
1898-02-01,9.9,10.070784252589903,10.65177543566612,11.189456855434578
1898-03-01,9.8,14.509028902165216,15.124544422480998,15.668355711316876
1898-04-01,19.4,18.744338004788506,19.35464867172601,19.941574483421444
1898-05-01,23.5,23.55185889083488,24.142692809286107,24.81421125505941
1898-06-01,24.2,25.919123707816656,26.44174899356559,27.091668252631933
1898-07-01,25.3,27.34568417568298,27.98821647134617,28.555952574420026
1898-08-01,32.2,26.60053502901781,27.18710789140495,27.79307884047347
1898-09-01,30.2,23.41653679285089,23.982527215325817,24.663619765264766
1898-10-01,18.9,18.328094428361307,18.94503816746473,19.579093516766154
1898-11-01,17.1,12.710415976661206,13.336405472735095,13.945994950598541
1898-12-01,12.0,9.815148367763742,10.39737966445064,10.995017558978999
1899-01-01,12.8,8.940581114280738,9.457681309404311,10.092594126855408
1899-02-01,18.4,10.216888268323288,10.73405225737147,11.307822598616553
1899-03-01,14.5,14.531696327622473,15.217673109397388,15.773811269993374
1899-04-01,15.5,18.81759348862167,19.43479032557076,20.02574874099643
1899-05-01,22.5,23.626767377391218,24.230669517311917,24.872447464279976
1899-06-01,26.4,26.002265021831086,26.524434826888488,27.163623927316863
1899-07-01,28.7,27.41489177709262,28.07101955282722,28.68758487836263
1899-08-01,30.1,26.674511906871633,27.266741558952102,27.898529033492824
1899-09-01,28.5,23.478125105074437,24.030058058531623,24.74431959162249
1899-10-01,18.0,18.32705670857483,18.987850637560918,19.638878964033367
1899-11-01,19.0,12.796931533222185,13.365115737469178,13.993472863129295
1899-12-01,9.2,9.841185926582632,10.446698706075146,11.06725013438463
1900-01-01,11.5,8.941105598145958,9.503634226964252,10.156105643595032
