model,param,ESS_median,tau_int_median,MCSE_median,mean_of_means,mean_of_sds
IG,Q_alpha(log10),36.462646453289615,27.42674247096021,0.02625814860241285,0.004725352793490212,0.0017583742145799032
IG,sigma,1000.0,1.0,0.0019911332613494013,1.9654777563862318,0.06309063684701564
PC,Q_alpha(log10),7.54645865880972,132.5408328656997,0.09324620665659691,0.0026055614306873566,0.0010450703650674033
PC,lambda_alpha,1000.0,1.0,0.04446013867184168,1.9496220847662542,1.3798506785990987
PC,sigma,261.1461552980627,3.835738468957092,0.003984630468786386,1.9781113981969909,0.06391254288231533
