tag,model,q_true,rep,param,mean,sd,ess,tau_int,mcse
T500_P12_sig2.0_q1e-02_rep1,IG,0.01,1,sigma,1.9616551110693605,0.0632248974133846,1000.0,1.0,0.0019993468065678368
T500_P12_sig2.0_q1e-02_rep1,IG,0.01,1,Q_alpha(log10),0.008507960574834975,0.0029939691066112094,41.05944066121343,24.354934794439234,0.023239643907369146
T500_P12_sig2.0_q1e-02_rep1,PC,0.01,1,sigma,1.9738232132721945,0.06373571442074395,232.78134983541057,4.295876799009267,0.004177426016267021
T500_P12_sig2.0_q1e-02_rep1,PC,0.01,1,Q_alpha(log10),0.010167943235026733,0.003993600828413669,11.662984569391922,85.74134639810617,0.050569321819011075
T500_P12_sig2.0_q1e-02_rep1,PC,0.01,1,lambda_alpha,1.8227618248062587,1.289588615507129,1000.0,1.0,0.04078037269625663
T500_P12_sig2.0_q1e-02_rep2,IG,0.01,2,sigma,1.9616551110693605,0.0632248974133846,1000.0,1.0,0.0019993468065678368
T500_P12_sig2.0_q1e-02_rep2,IG,0.01,2,Q_alpha(log10),0.008507960574834975,0.0029939691066112094,41.05944066121343,24.354934794439234,0.023239643907369146
T500_P12_sig2.0_q1e-02_rep2,PC,0.01,2,sigma,1.9738232132721945,0.06373571442074395,232.78134983541057,4.295876799009267,0.004177426016267021
T500_P12_sig2.0_q1e-02_rep2,PC,0.01,2,Q_alpha(log10),0.010167943235026733,0.003993600828413669,11.662984569391922,85.74134639810617,0.050569321819011075
T500_P12_sig2.0_q1e-02_rep2,PC,0.01,2,lambda_alpha,1.8227618248062587,1.289588615507129,1000.0,1.0,0.04078037269625663
T500_P12_sig2.0_q1e-02_rep3,IG,0.01,3,sigma,1.9616551110693605,0.0632248974133846,1000.0,1.0,0.0019993468065678368
T500_P12_sig2.0_q1e-02_rep3,IG,0.01,3,Q_alpha(log10),0.008507960574834975,0.0029939691066112094,41.05944066121343,24.354934794439234,0.023239643907369146
T500_P12_sig2.0_q1e-02_rep3,PC,0.01,3,sigma,1.9738232132721945,0.06373571442074395,232.78134983541057,4.295876799009267,0.004177426016267021
T500_P12_sig2.0_q1e-02_rep3,PC,0.01,3,Q_alpha(log10),0.010167943235026733,0.003993600828413669,11.662984569391922,85.74134639810617,0.050569321819011075
T500_P12_sig2.0_q1e-02_rep3,PC,0.01,3,lambda_alpha,1.8227618248062587,1.289588615507129,1000.0,1.0,0.04078037269625663
T500_P12_sig2.0_q1e-04_rep1,IG,0.0001,1,sigma,1.96200494070176,0.06286996390143931,1000.0,1.0,0.0019881228234111398
T500_P12_sig2.0_q1e-04_rep1,IG,0.0001,1,Q_alpha(log10),0.003170012648094981,0.0012049104644537851,36.7245980748772,27.229705767265738,0.026062836888673842
T500_P12_sig2.0_q1e-04_rep1,PC,0.0001,1,sigma,1.968893989329151,0.06360377093532658,359.30339350570307,2.783163248871813,0.0033554610763787416
T500_P12_sig2.0_q1e-04_rep1,PC,0.0001,1,Q_alpha(log10),0.0002522751881289953,0.00018554105888844103,7.258235801375312,137.77452639531455,0.10955459791175041
T500_P12_sig2.0_q1e-04_rep1,PC,0.0001,1,lambda_alpha,1.9730833546904527,1.3957947691398727,1000.0,1.0,0.04413890616630899
T500_P12_sig2.0_q1e-04_rep2,IG,0.0001,2,sigma,1.96200494070176,0.06286996390143931,1000.0,1.0,0.0019881228234111398
T500_P12_sig2.0_q1e-04_rep2,IG,0.0001,2,Q_alpha(log10),0.003170012648094981,0.0012049104644537851,36.7245980748772,27.229705767265738,0.026062836888673842
